agent,mean_policy_weight,median_policy_weight,selection_rate,mean_predicted_reward,mean_observed_reward
ridge,0.24553000475341302,0.23013444204700623,0.16713483146067415,0.5755616894824389,0.5877257704919437
random_forest,0.33879452702008445,0.33115775236794076,0.273876404494382,0.5865518882612463,0.5993007549574777
nearest_neighbors,0.415675468226503,0.40881839687572663,0.5589887640449438,0.5917964102459453,0.6054100616818711
