run,system,channel_left,channel_right,pearson,spearman,partial_correlation_controlling_other_channels,observed_value_permutation_p,n_biological_units,fdr_bh_q
depmap_prism_master,DepMap/PRISM Master,cancer_future_state,individual_agents,-0.0310904877307285,-0.0259969705053875,-0.1158950019043073,0.4137931034482758,723,0.5172413793103449
depmap_prism_master,DepMap/PRISM Master,cancer_future_state,inter_agent_disagreement,0.252303200962375,0.2190406651196808,0.0460023609983009,0.0004997501249375,723,0.0008329168748958
depmap_prism_master,DepMap/PRISM Master,cancer_future_state,master_state,0.2709646454932223,0.2462372789136036,0.1680570843910062,0.0004997501249375,723,0.0008329168748958
depmap_prism_master,DepMap/PRISM Master,cancer_future_state,master_self_observation_uncertainty,0.0525052592777676,0.0406273033884604,-0.0270801887528094,0.160919540229885,723,0.2298850574712643
depmap_prism_master,DepMap/PRISM Master,individual_agents,inter_agent_disagreement,-0.0049265414991192,0.0194721836244849,-0.3881617964181723,0.896551724137931,723,0.8965517241379309
depmap_prism_master,DepMap/PRISM Master,individual_agents,master_state,0.3653702802485298,0.3666829002600528,0.5326907683774693,0.0004997501249375,723,0.0008329168748958
depmap_prism_master,DepMap/PRISM Master,individual_agents,master_self_observation_uncertainty,-0.0116962831747016,0.0046442915719327,0.1048600730979585,0.7731134432783608,723,0.8590149369759565
depmap_prism_master,DepMap/PRISM Master,inter_agent_disagreement,master_state,0.6991943603016937,0.7066374927677532,0.7375203587974483,0.0004997501249375,723,0.0008329168748958
depmap_prism_master,DepMap/PRISM Master,inter_agent_disagreement,master_self_observation_uncertainty,0.4346257021338598,0.4394148705092041,0.4472091812360781,0.0004997501249375,723,0.0008329168748958
depmap_prism_master,DepMap/PRISM Master,master_state,master_self_observation_uncertainty,0.1766407940396521,0.1848650561646557,-0.2164953878883309,0.0004997501249375,723,0.0008329168748958
lincs_future_state,LINCS future state,cancer_future_state,individual_agents,0.9020542314405282,0.8186596538444688,0.0865434384562083,0.0004997501249375,712,0.0004997501249375
lincs_future_state,LINCS future state,cancer_future_state,inter_agent_disagreement,0.6701774151145823,0.7026724432618549,0.0285637665139975,0.0004997501249375,712,0.0004997501249375
lincs_future_state,LINCS future state,cancer_future_state,master_state,0.894650492639775,0.7993769195113953,-0.0580040863566085,0.0004997501249375,712,0.0004997501249375
lincs_future_state,LINCS future state,cancer_future_state,master_self_observation_uncertainty,0.6106720260289307,0.2616889512676414,0.0477226566628477,0.0004997501249375,712,0.0004997501249375
lincs_future_state,LINCS future state,individual_agents,inter_agent_disagreement,0.6548605737621835,0.7101506126378547,0.9439144846307688,0.0004997501249375,712,0.0004997501249375
lincs_future_state,LINCS future state,individual_agents,master_state,0.998622591486935,0.9954322701927332,0.9992904650846942,0.0004997501249375,712,0.0004997501249375
lincs_future_state,LINCS future state,individual_agents,master_self_observation_uncertainty,0.6373403654887699,0.1160080559552304,0.6932888102905354,0.0004997501249375,712,0.0004997501249375
lincs_future_state,LINCS future state,inter_agent_disagreement,master_state,0.6182044032819927,0.6547445431169744,-0.9424573576008548,0.0004997501249375,712,0.0004997501249375
lincs_future_state,LINCS future state,inter_agent_disagreement,master_self_observation_uncertainty,0.3948784546685427,0.4154805915617533,-0.6634754967692629,0.0004997501249375,712,0.0004997501249375
lincs_future_state,LINCS future state,master_state,master_self_observation_uncertainty,0.6257923843010538,0.0595454219339465,-0.686652244100119,0.0004997501249375,712,0.0004997501249375
tcga_patient_outcome,TCGA patient outcome,cancer_future_state,individual_agents,0.7757451073391755,0.659047596727968,-0.216243560168377,0.0004997501249375,42,0.000999500249875
tcga_patient_outcome,TCGA patient outcome,cancer_future_state,inter_agent_disagreement,0.3341974401451906,0.42709782905521,-0.5148004118927093,0.0299850074962518,42,0.0299850074962518
tcga_patient_outcome,TCGA patient outcome,cancer_future_state,master_state,0.8962684073137189,0.8617045264342268,0.7991954176066675,0.0004997501249375,42,0.000999500249875
tcga_patient_outcome,TCGA patient outcome,cancer_future_state,master_self_observation_uncertainty,-0.4444674193893604,-0.3860878559021112,-0.0352527207149291,0.0019990004997501,42,0.002855714999643
tcga_patient_outcome,TCGA patient outcome,individual_agents,inter_agent_disagreement,0.416767105395048,0.4987440239850904,-0.3205844660447133,0.0069965017491254,42,0.0087456271864067
tcga_patient_outcome,TCGA patient outcome,individual_agents,master_state,0.8826349527251149,0.775382870107771,0.6628570749073203,0.0004997501249375,42,0.000999500249875
tcga_patient_outcome,TCGA patient outcome,individual_agents,master_self_observation_uncertainty,-0.5318396568558657,-0.496475164087189,-0.2089456883489537,0.000999500249875,42,0.0016658337497917
tcga_patient_outcome,TCGA patient outcome,inter_agent_disagreement,master_state,0.5701196762625588,0.7123409772303705,0.6479798291697424,0.0004997501249375,42,0.000999500249875
tcga_patient_outcome,TCGA patient outcome,inter_agent_disagreement,master_self_observation_uncertainty,-0.3823453154110811,-0.5055506036787943,-0.1592520270358932,0.0149925037481259,42,0.0166583374979177
tcga_patient_outcome,TCGA patient outcome,master_state,master_self_observation_uncertainty,-0.5241244077065549,-0.554979337168787,0.0012511134450295,0.0004997501249375,42,0.000999500249875
